Title;GGS Rating
IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMPUTING RESEARCH;Work in Progress
INTERNATIONAL CONFERENCE ON CONVERGENCE INFORMATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL LOGISTICS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER MODELING AND SIMULATION;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON CLOUD NETWORKING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTER COMMUNICATION AND PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON CYBER-PHYSICAL SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE;B
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON CONTROL SYSTEM, COMPUTING AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND INFORMATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND NETWORK TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMMUNICATION AND SIGNAL PROCESSING;Work in Progress
INTERNATIONAL CARNAHAN CONFERENCE ON SECURITY TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES;B
INTERNATIONAL CONFERENCE ON COMMUNICATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTING: THEORY AND APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION;A++
INTERNATIONAL CONFERENCE ON CONNECTED VEHICLES AND EXPO;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER VISION AND GRAPHICS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DOCUMENT ANALYSIS AND RECOGNITION;A
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND NETWORKING;Work in Progress
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS;A
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS WORKSHOPS;Work in Progress
INTERNATIONAL CONFERENCE ON DATA ENGINEERING;A++
INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS;Work in Progress
INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION MANAGEMENT;Work in Progress
DATA AND KNOWLEDGE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON DIELECTRIC LIQUIDS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DATA MINING;A++
INTERNATIONAL CONFERENCE ON DIGITAL SOCIETY;Work in Progress
ACM/IEEE INTERNATIONAL CONFERENCE ON DISTRIBUTED SMART CAMERAS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON DATABASE THEORY;A-
INTERNATIONAL CONFERENCE ON E-BUSINESS;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTROMAGNETICS IN ADVANCED APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON E-BUSINESS ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE;B
IEEE INTERNATIONAL CONFERENCE ON ENGINEERING OF COMPLEX COMPUTER SYSTEMS;B-
INTERNATIONAL CONFERENCE ON ELECTRICAL AND CONTROL ENGINEERING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS: CIRCUITS AND SYSTEMS;B-
INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING AND INFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF ELECTRONIC GOVERNANCE;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONICS AND INFORMATION ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRICAL MACHINES;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRICAL MACHINES AND SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ELECTRONIC PACKAGING TECHNOLOGY;Work in Progress
INTERNATIONAL COMPUTING EDUCATION RESEARCH WORKSHOP;B-
INTERNATIONAL CONFERENCE ON EMBEDDED SOFTWARE AND SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON EDUCATION TECHNOLOGY AND COMPUTER;Work in Progress
INTERNATIONAL CONFERENCE ON EMERGING TRENDS IN ENGINEERING AND TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON FORMAL CONCEPT ANALYSIS;B-
INTERNATIONAL CONFERENCE ON FUTURE COMPUTER AND COMMUNICATION;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON FOG AND EDGE COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS;B-
INTERNATIONAL CONFERENCE ON FRONTIERS IN HANDWRITING RECOGNITION;B
INTERNATIONAL CONFERENCE ON FUNCTIONAL PROGRAMMING;A
INTERNATIONAL CONFERENCE ON GENETIC ALGORITHMS;Not Rated (discontinued event)
INTERNATIONAL CONFERENCE ON GREEN COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON GENETIC AND EVOLUTIONARY COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON GRID COMPUTING;Work in Progress
INTERNATIONAL COLLOQUIUM ON GRAMMATICAL INFERENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON GLOBAL SOFTWARE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON GRAPH TRANSFORMATION;B
IEEE INTERNATIONAL CONFERENCE ON HEALTHCARE INFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON HYBRID INFORMATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON HYBRID LEARNING AND EDUCATION;Work in Progress
INTERNATIONAL CONFERENCE ON HARMONICS AND QUALITY OF POWER;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING;B
INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND RECOGNITION;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT AND ADVANCED SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION COMPUTING AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON IC DESIGN AND TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION COMMUNICATION AND EMBEDDED SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON INNOVATIVE COMPUTING, INFORMATION AND CONTROL;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT CONTROL AND INFORMATION PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION SECURITY;B
INTERNATIONAL CONFERENCE ON INTERNET COMPUTING IN SCIENCE AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION TECHNOLOGY AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON INTERACTIVE DIGITAL STORYTELLING;Work in Progress
CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATICS EDUCATION AND RESEARCH;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATICS, ELECTRONICS AND VISION;Work in Progress
INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT INFORMATION PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON INTERNET MONITORING AND PROTECTION;Work in Progress
CONFERENCE ON INNOVATION IN CLOUDS, INTERNET AND NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS;Work in Progress
INTERNATIONAL CONFERENCE INFORMATION PROCESSING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING;A-
INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTICS AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS;A-
INTERNATIONAL CONFERENCE ON INFORMATION SCIENCE AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SECURITY AND CRYPTOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATICS AND SEMIOTICS IN ORGANISATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON IMAGE AND SIGNAL PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY AND PRIVACY;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS IN BIOMEDICINE;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION THEORETIC SECURITY;Work in Progress
INTERNATIONAL CONFERENCE FOR INTERNET TECHNOLOGY AND SECURED TRANSACTIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INTERNET AND WEB APPLICATIONS AND SERVICES;Work in Progress
INTERNATIONAL CONFERENCE ON LOCALIZATION AND GNSS;Work in Progress
INTERNATIONAL CONFERENCE ON LEARNING REPRESENTATIONS;A++
INTERNATIONAL CONFERENCE OF LEARNING SCIENCES;Work in Progress
INTERNATIONAL CONFERENCE ON MECHATRONICS AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON MOBILE BUSINESS;Work in Progress
INTERNATIONAL COMPUTER MUSIC CONFERENCE;B
IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO;A-
INTERNATIONAL CONFERENCE ON MULTIMODAL INTERFACES;A-
INTERNATIONAL CONFERENCE ON MANAGEMENT OF INNOVATION AND TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON MACHINE LEARNING;A++
INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS;B-
INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS;Work in Progress
INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE TECHNOLOGY;Work in Progress
ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL;A-
INTERNATIONAL CONGRESS ON MATHEMATICAL SOFTWARE;Work in Progress
INTERNATIONAL CONFERENCE ON MODEL TRANSFORMATION;B-
INTERNATIONAL CONFERENCE ON MEASURING TECHNOLOGY AND MECHATRONICS AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON MICROELECTRONIC TEST STRUCTURES;Work in Progress
INTERNATIONAL CONFERENCE ON MACHINE VISION;Work in Progress
INTERNATIONAL CONFERENCE ON NETWORKING;B
INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION;B-
INTERNATIONAL CONFERENCE NATURAL LANGUAGE PROCESSING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON NEURAL NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON NEURAL NETWORKS AND BRAIN;Work in Progress
INTERNATIONAL CONFERENCE ON NETWORK PROTOCOLS;A
INTERNATIONAL CONFERENCE ON NETWORKING AND SERVICES;Work in Progress
IEEE INTL NETWORKING, SENSING AND CONTROL;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION NETWORKING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON NETWORKS;Not Rated (discontinued event)
INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING;B
INTERNATIONAL CONFERENCE ON SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON PLASMA SCIENCE;Work in Progress
INTERNATIONAL CONFERENCE ON OPERATIONS RESEARCH AND ENTERPRISE SYSTEMS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON REHABILITATION ROBOTICS;Work in Progress
INTERNATIONAL CONFERENCE ON SMART HOMES AND HEALTH TELEMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON OPTIMIZATION: TECHNIQUES AND APPLICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON PROPERTIES AND APPLICATIONS OF DIELECTRIC MATERIALS;Work in Progress
INTERNATIONAL CONFERENCE ON PARALLEL AND DISTRIBUTED SYSTEMS;B
IEEE INTERNATIONAL CONFERENCE ON PROGRAM COMPREHENSION;A
ACM/SPEC INTERNATIONAL CONFERENCE ON PERFORMANCE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING;A
INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION;A-
INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION APPLICATIONS AND METHODS;Work in Progress
INTERNATIONAL CONFERENCE ON PERVASIVE SERVICES;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON PERSONAL WIRELESS COMMUNICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION;A
IEEE INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE;A
IEEE INTERNATIONAL CONFERENCE ON RENEWABLE ENERGY RESEARCH AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON REHABILITATION ROBOTICS;Work in Progress
INTERNATIONAL CONFERENCE ON RECENT TRENDS IN INFORMATION TECHNOLOGY;Work in Progress
ACM INTERNATIONAL CONFERENCE ON SUPERCOMPUTING;A
IEEE/IFIP INTERNATIONAL CONFERENCE ON SOFTWARE ARCHITECTURE;A-
IEEE INTERNATIONAL CONFERENCE ON SOLID DIELECTRICS;Work in Progress
INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING;A++
INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING ADVANCES;Work in Progress
INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON SUSTAINABLE ENERGY TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON SWARM INTELLIGENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON SIGNAL AND IMAGE PROCESSING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE;A
INTERNATIONAL CONFERENCE ON SYSTEMS AND NETWORKS COMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON SOFTWARE BUSINESS;Work in Progress
INTERNATIONAL CONFERENCE ON SERVICE ORIENTED COMPUTING;A-
INTERNATIONAL CONFERENCE ON SOFTWARE AND DATA TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON SECURITY IN PERVASIVE COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING AND COMMUNICATION SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE SIGNAL PROCESSING SYSTEMS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON SOFTWARE REUSE;B
INTERNATIONAL CONFERENCE ON ON SOFTWARE AND SYSTEMS PROCESS;Work in Progress
INTERNATIONAL CONFERENCE ON SERVICE SYSTEMS AND SERVICE MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON SOFTWARE TESTING, VERIFICATION AND VALIDATION;A-
INTERNATIONAL CONFERENCE ON SOFTWARE TESTING, VERIFICATION AND VALIDATION WORKSHOPS;Work in Progress
INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES FOR AGEING WELL AND E-HEALTH;Work in Progress
INTERNATIONAL COLLOQUIUM ON THEORETICAL ASPECTS OF COMPUTING;B-
INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE;B
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY CONVERGENCE;Work in Progress
INFORMATION AND COMMUNICATION TECHNOLOGIES AND DEVELOPMENT;Work in Progress
ICT IN EDUCATION, RESEARCH, AND INDUSTRIAL APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON THE THEORY OF INFORMATION RETRIEVAL;Work in Progress
INTERNATIONAL CONFERENCE ON TRUST MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON TRANSPARENT OPTICAL NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON TESTING SOFTWARE AND SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON TRANSPORT SYSTEMS TELEMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON UBIQUITOUS AND FUTURE NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON UBIQUITOUS INFORMATION MANAGEMENT AND COMMUNICATION;Work in Progress
INTERNATIONAL CONFERENCE ON ULTRA MODERN TELECOMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON ULTRA-WIDEBAND;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON VEHICULAR ELECTRONICS AND SAFETY;Work in Progress
INDIAN CONFERENCE ON COMPUTER VISION, GRAPHICS AND IMAGE PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON VIRTUAL REALITY;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER VISION SYSTEMS;Work in Progress
SYSTEMS COMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION;Work in Progress
INTERNATIONAL CONFERENCE ON WEB ENGINEERING;B-
INTERNATIONAL CONFERENCE ON WEB-BASED LEARNING;Work in Progress
INTERNATIONAL CONFERENCE ON WIRELESS AND MOBILE COMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON WIRELESS NETWORKS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON WEB SERVICES;A
AAAI INTERNATIONAL CONFERENCE ON WEBLOGS AND SOCIAL MEDIA;A
INTERNATIONAL CONFERENCE FOR YOUNG COMPUTER SCIENTISTS;Work in Progress
INTELLIGENT DATA ANALYSIS;B-
INTELLIGENT DATA ACQUISITION AND ADVANCED COMPUTING SYSTEMS TECHNOLOGY AND APPLICATIONS;Work in Progress
INTERACTION DESIGN AND CHILDREN;B
INTERNATIONAL CONFERENCE ON INFORMATICS & DATA-DRIVEN MEDICINE;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING;Work in Progress
INTERNATIONAL DATABASE ENGINEERING AND APPLICATIONS SYMPOSIUM;B
INTELLIGENT ENVIRONMENTS;Work in Progress
INTERNATIONAL CONFERENCE INDUSTRIAL, ENGINEERING & OTHER APPLICATIONS APPLIED INTELLIGENT SYSTEMS;Work in Progress
INDUSTRIAL AND ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS;Work in Progress
INTERSOCIETY ENERGY CONVERSION ENGINEERING CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON INDUSTRIAL ELECTRONICS, CONTROL, AND INSTRUMENTATION;Work in Progress
CONFERENCE OF THE INDUSTRIAL ELECTRONICS SOCIETY;Work in Progress
INTERNATIONAL ELECTRON DEVICES MEETING;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN CONTROL AND AUTOMATION;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN CYBER SECURITY;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE FOR FINANCIAL ENGINEERING;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE FOR MULTIMEDIA SIGNAL AND VISION PROCESSING;Work in Progress
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE FOR SECURITY AND DEFENCE APPLICATIONS;Work in Progress
IEEE GLOBAL INTERNET SYMPOSIUM;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS;Work in Progress
IEEE INFORMATION VISUALIZATION CONFERENCE;Not Rated (now published as journal)
IEEE INTERNATIONAL CONFERENCE ON SERVICES COMPUTING;B
IEEE SWARM INTELLIGENCE SYMPOSIUM;B-
IEEE SYMPOSIUM ON VISUAL ANALYTICS SCIENCE AND TECHNOLOGY;B
IEEE VISUALIZATION;Not Rated (now published as journal)
IEEE CONGRESS ON SERVICES;B-
IEEE GRENOBLE CONFERENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COMPUTER LANGUAGES;Work in Progress
INTELLIGENT VEHICLES CONFERENCE;A-
INTERNATIONAL CONFERENCE ON NANOTECHNOLOGY;Work in Progress
POWER ENGINEERING SOCIETY SUMMER MEETING;Work in Progress
IEEE ANTENNAS AND PROPAGATION SOCIETY INTERNATIONAL SYMPOSIUM;Work in Progress
IEEE IEEE INTERNATIONAL CONFERENCE ON RFID;B
INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT;Work in Progress
INTELLIGENT E-GOVERNMENT AND EMERGENCY MANAGEMENT;Work in Progress
INTERNATIONAL ENGINEERING MANAGEMENT CONFERENCE;Work in Progress
INTERNATIONAL ELECTRIC MACHINES AND DRIVES CONFERENCE;Work in Progress
INTERNATIONAL ELECTRONICS MANUFACTURING TECHNOLOGY SYMPOSIUM;Work in Progress
ASIA PACIFIC SYMPOSIUM ON INTELLIGENT AND EVOLUTIONARY SYSTEMS (WAS AUSTRALIA-JAPAN JOINT WORKSHOP ON  INTELLIGENT AND EVOLUTIONARY SYSTEMS);Work in Progress
INTERNATIONAL CONFERENCE ON EXPLORING SERVICES SCIENCE;Work in Progress
IET NETWORKS;Work in Progress
IET WIRELESS SENSOR SYSTEMS;Work in Progress
INTERNATIONAL FREE ELECTRON LASER CONFERENCE;Work in Progress
IFIP INFORMATION SECURITY & PRIVACY CONFERENCE;B-
DECISION SUPPORT SYSTEMS;B
IFIP ARTIFICIAL INTELLIGENCE;Work in Progress
INTERNATIONAL IFIP-TC NETWORKING CONFERENCE;Work in Progress
IMPLEMENTATION AND APPLICATION OF FUNCTIONAL LANGUAGES;Work in Progress
INTEGRATED FORMAL METHODS;B-
INTERNATIONAL FORUM ON STRATEGIC TECHNOLOGY;Work in Progress
IFSA WORLD CONGRESS;Work in Progress
IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM;B-
IEEE INTERNATIONAL GAMES INNOVATION CONFERENCE;Work in Progress
INFORMATION HIDING;B
SIMPÓSIO BRASILEIRO SOBRE FATORES HUMANOS EM SISTEMAS COMPUTACIONAIS;Work in Progress
INTERNATIONAL CONFERENCE ON INTERACTION DESIGN & INTERNATIONAL DEVELOPMENT;Work in Progress
INTERNATIONAL HEALTH INFORMATICS SYMPOSIUM;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT HUMAN-MACHINE SYSTEMS AND CYBERNETICS;Work in Progress
INDIAN INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE;Work in Progress
INTELLIGENT INFORMATION HIDING AND MULTIMEDIA SIGNAL PROCESSING;Work in Progress
INFORMATION INTERACTION IN CONTEXT;Work in Progress
INTERNATIONAL INTEGRATED RELIABILITY WORKSHOP;Work in Progress
INTELLIGENT INFORMATION SYSTEMS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON WORKLOAD CHARACTERIZATION;Work in Progress
INTERNATIONAL CONFERENCE ON ION IMPLANTATION TECHNOLOGY;Work in Progress
INTELLIGENT INFORMATION TECHNOLOGY APPLICATION;Work in Progress
INFORMATION INTEGRATION AND WEB-BASED APPLICATIONS AND SERVICES;Work in Progress
INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;A++
INTERNATIONAL JOINT CONFERENCE ON COMPUTATIONAL INTELLIGENCE;Work in Progress
INTERNATIONAL JOINT CONFERENCE ON NATURAL LANGUAGE PROCESSING;A-
INTERNATIONAL JOINT CONFERENCE ON COMPUTATIONAL LINGUISTICS;Work in Progress
IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS;A-
INTERNATIONAL JOINT CONFERENCE ON ROUGH SETS (2014 INTERNATIONAL CONFERENCE ON ROUGH SETS AND CURRENT TRENDS IN COMPUTING JOINED WITH 3 OTHERS);Work in Progress
INTERNATIONAL JOURNAL OF SPATIAL DATA INFRASTRUCTURES RESEARCH, ,;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON LEARNING ANALYTICS AND KNOWLEDGE;A-
INDUCTIVE LOGIC PROGRAMMING;B
IFIP/IEEE INTERNATIONAL SYMPOSIUM ON INTEGRATED MANAGEMENT (ODD YEARS SHARING WITH NOMS);B
IMA INTERNATIONAL CONFERENCE ON CRYPTOGRAPHY AND CODING;Work in Progress
INTERNET MEASUREMENT CONFERENCE;A+
INTERNATIONAL MULTICONFERENCE ON COMPUTER SCIENCE AND INFORMATION TECHNOLOGY;Work in Progress
INTERNATIONAL MULTICONFERENCE OF ENGINEERS AND COMPUTER SCIENTISTS;Work in Progress
INTERNATIONAL CONFERENCE ON IT SECURITY INCIDENT MANAGEMENT AND IT FORENSICS;Work in Progress
INNOVATIVE MOBILE AND INTERNET SERVICES IN UBIQUITOUS COMPUTING;Work in Progress
SBMO/MTT-S INTERNATIONAL MICROWAVE AND OPTOELECTRONICS CONFERENCE;Work in Progress
INTERNATIONAL MICROSYSTEMS, PACKAGING, ASSEMBLY AND CIRCUITS TECHNOLOGY CONFERENCE;Work in Progress
INTERNATIONAL MESHING ROUNDTABLE CONFERENCE;Work in Progress
INTERNATIONAL MULTI-SYMPOSIUMS ON COMPUTER AND COMPUTATIONAL SCIENCES;Work in Progress
INSTRUMENTATION AND MEASUREMENT TECHNOLOGY CONFERENCE;Work in Progress
INTERNATIONAL MACHINE VISION AND IMAGE PROCESSING CONFERENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON INTELLIGENT MULTIMEDIA, VIDEO AND SPEECH PROCESSING;Work in Progress
